AccidentId,Gravity,Light,InAgglomeration,IntersectionType,Weather,CollisionType,Month,DayOfWeek,HourOfDay,IsWeekend,IsNight
201800023440,NonLethal,TwilightOrDawn,Yes,NoIntersection,Other,Other,2,Friday,7,False,False
201800041166,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,10,Wednesday,8,False,False
201800040998,NonLethal,NightNoStreetLight,Yes,NoIntersection,Normal,2Vehicles-BehindVehicles-Frontal,12,Thursday,3,False,True
201800030984,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Side,2,Saturday,21,True,False
201800036021,NonLethal,Daylight,Yes,NoIntersection,Normal,3+Vehicles-Chain,3,Thursday,13,False,False
201800022986,NonLethal,NightStreelightsOn,Yes,NoIntersection,LightRain,3+Vehicles-Chain,3,Monday,19,False,False
201800011716,NonLethal,Daylight,Yes,NoIntersection,Normal,NoCollision,5,Saturday,13,True,False
201800038709,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,8,Thursday,9,False,False
201800044817,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Behind,4,Wednesday,16,False,False
201800057409,NonLethal,Daylight,Yes,NoIntersection,Normal,NoCollision,1,Monday,18,False,False
201800021521,NonLethal,NightNoStreetLight,No,Roundabout,FogOrSmoke,NoCollision,1,Wednesday,7,False,False
201800033363,NonLethal,NightStreelightsOff,Yes,NoIntersection,Normal,2Vehicles-Side,3,Saturday,21,True,False
201800018021,NonLethal,Daylight,No,NoIntersection,Normal,NoCollision,9,Saturday,18,True,False
201800021002,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Side,6,Friday,8,False,False
201800001592,NonLethal,Daylight,No,NoIntersection,LightRain,2Vehicles-BehindVehicles-Frontal,6,Tuesday,11,False,False
201800025280,NonLethal,NightNoStreetLight,Yes,NoIntersection,LightRain,Other,3,Saturday,4,True,True
201800012777,NonLethal,Daylight,Yes,Y-type,Normal,2Vehicles-BehindVehicles-Frontal,8,Sunday,12,True,False
201800048884,NonLethal,Daylight,No,NoIntersection,Normal,3+Vehicles-Chain,4,Tuesday,8,False,False
201800000641,NonLethal,Daylight,No,Y-type,LightRain,2Vehicles-Side,8,Thursday,12,False,False
201800056605,NonLethal,Daylight,No,NoIntersection,Normal,3+Vehicles-Chain,7,Thursday,10,False,False
201800040605,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,6,Monday,19,False,False
201800049538,NonLethal,NightNoStreetLight,No,NoIntersection,LightRain,3+Vehicles-Chain,2,Thursday,18,False,False
201800010224,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,12,Friday,16,False,False
201800024120,NonLethal,Daylight,Yes,Roundabout,Normal,2Vehicles-Behind,9,Wednesday,18,False,False
201800050851,NonLethal,TwilightOrDawn,Yes,Y-type,Normal,2Vehicles-Side,3,Thursday,7,False,False
201800014780,NonLethal,TwilightOrDawn,No,NoIntersection,Overcast,Other,1,Tuesday,17,False,False
201800055840,NonLethal,TwilightOrDawn,Yes,NoIntersection,LightRain,NoCollision,6,Monday,6,False,True
201800054858,NonLethal,NightStreelightsOn,Yes,T-type,Normal,NoCollision,11,Tuesday,20,False,False
201800019419,NonLethal,Daylight,No,NoIntersection,Overcast,2Vehicles-BehindVehicles-Frontal,7,Monday,14,False,False
201800041905,NonLethal,Daylight,Yes,T-type,Normal,2Vehicles-Behind,10,Wednesday,10,False,False
201800045828,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Behind,4,Thursday,9,False,False
201800049710,NonLethal,NightNoStreetLight,No,NoIntersection,Normal,Other,2,Saturday,1,True,True
201800035452,NonLethal,Daylight,Yes,Y-type,Normal,3+Vehicles-Multiple,9,Friday,16,False,False
201800033928,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Side,11,Monday,16,False,False
201800013113,NonLethal,NightNoStreetLight,No,NoIntersection,Normal,2Vehicles-Behind,4,Wednesday,20,False,False
201800024888,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,Other,9,Friday,1,False,True
201800002518,NonLethal,Daylight,Yes,T-type,LightRain,Other,12,Thursday,15,False,False
201800032049,NonLethal,NightStreelightsOn,Yes,NoIntersection,Overcast,Other,12,Monday,17,False,False
201800051747,NonLethal,Daylight,Yes,Y-type,LightRain,NoCollision,11,Tuesday,16,False,False
201800006068,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Side,3,Sunday,15,True,False
201800040413,NonLethal,NightStreelightsOn,Yes,T-type,LightRain,2Vehicles-Side,4,Monday,23,False,False
201800030095,NonLethal,Daylight,No,NoIntersection,Normal,Other,1,Monday,16,False,False
201800035009,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Side,3,Monday,13,False,False
201800012275,NonLethal,Daylight,No,Roundabout,VeryGood,2Vehicles-Behind,12,Wednesday,16,False,False
201800037320,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-BehindVehicles-Frontal,10,Tuesday,22,False,False
201800033742,Lethal,Daylight,No,NoIntersection,Normal,3+Vehicles-Multiple,3,Tuesday,11,False,False
201800012359,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,7,Thursday,15,False,False
201800008958,NonLethal,NightStreelightsOn,Yes,X-type,Normal,2Vehicles-Side,5,Saturday,1,True,True
201800016066,NonLethal,Daylight,Yes,T-type,Normal,2Vehicles-Side,3,Sunday,15,True,False
201800014556,Lethal,NightNoStreetLight,No,NoIntersection,FogOrSmoke,NoCollision,12,Friday,20,False,False
201800025690,NonLethal,NightStreelightsOn,Yes,X-type,Normal,Other,1,Thursday,7,False,False
201800054888,NonLethal,Daylight,Yes,T-type,Normal,2Vehicles-Side,1,Friday,12,False,False
201800027085,NonLethal,Daylight,No,NoIntersection,Normal,3+Vehicles-Chain,9,Saturday,14,True,False
201800010777,NonLethal,Daylight,Yes,Square,Normal,Other,8,Tuesday,11,False,False
201800038554,NonLethal,NightStreelightsOn,Yes,X-type,Normal,2Vehicles-Side,1,Thursday,22,False,False
201800008461,NonLethal,Daylight,Yes,T-type,Overcast,2Vehicles-Side,2,Friday,12,False,False
201800052251,NonLethal,Daylight,Yes,X-type,Normal,Other,11,Wednesday,8,False,False
201800035979,NonLethal,Daylight,No,T-type,LightRain,3+Vehicles-Multiple,1,Tuesday,14,False,False
201800042932,NonLethal,TwilightOrDawn,Yes,Square,Normal,2Vehicles-Side,6,Monday,8,False,False
201800009586,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,8,Sunday,16,True,False
201800033160,NonLethal,Daylight,Yes,T-type,Normal,2Vehicles-Side,9,Tuesday,19,False,False
201800009773,NonLethal,NightNoStreetLight,No,NoIntersection,Normal,Other,9,Sunday,5,True,True
201800026409,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Side,5,Friday,20,False,False
201800026731,NonLethal,NightStreelightsOn,Yes,T-type,Normal,2Vehicles-Side,1,Tuesday,20,False,False
201800030657,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,4,Wednesday,17,False,False
201800053355,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,5,Thursday,9,False,False
201800056329,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Behind,12,Sunday,19,True,False
201800025900,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,6,Wednesday,17,False,False
201800029844,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,9,Monday,13,False,False
201800011386,NonLethal,NightNoStreetLight,No,X-type,Normal,Other,12,Saturday,19,True,False
201800006065,Lethal,Daylight,No,NoIntersection,VeryGood,2Vehicles-Behind,1,Thursday,7,False,False
201800003400,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Behind,8,Tuesday,16,False,False
201800012990,NonLethal,TwilightOrDawn,No,NoIntersection,Normal,Other,7,Monday,4,False,True
201800021018,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-BehindVehicles-Frontal,7,Friday,22,False,False
201800004659,NonLethal,NightStreelightsOn,Yes,X-type,LightRain,2Vehicles-Side,10,Thursday,18,False,False
201800043600,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,10,Wednesday,18,False,False
201800018359,Lethal,Daylight,No,MoreThan4Branches,Normal,3+Vehicles-Multiple,8,Saturday,14,True,False
201800004737,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-BehindVehicles-Frontal,9,Saturday,9,True,False
201800032519,NonLethal,Daylight,Yes,NoIntersection,Normal,3+Vehicles-Multiple,7,Friday,16,False,False
201800033260,NonLethal,Daylight,Yes,MoreThan4Branches,Other,2Vehicles-BehindVehicles-Frontal,9,Monday,11,False,False
201800020307,NonLethal,Daylight,No,NoIntersection,LightRain,2Vehicles-BehindVehicles-Frontal,10,Tuesday,8,False,False
201800014082,NonLethal,NightNoStreetLight,No,NoIntersection,Normal,NoCollision,6,Monday,22,False,False
201800026373,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-BehindVehicles-Frontal,7,Sunday,18,True,False
201800047612,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,7,Thursday,17,False,False
201800048203,NonLethal,Daylight,Yes,NoIntersection,VeryGood,2Vehicles-BehindVehicles-Frontal,4,Friday,8,False,False
201800056544,NonLethal,Daylight,Yes,T-type,Normal,2Vehicles-Side,4,Thursday,11,False,False
201800024808,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,6,Saturday,21,True,False
201800010332,NonLethal,Daylight,Yes,Roundabout,Normal,Other,6,Friday,9,False,False
201800052303,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Side,12,Saturday,23,True,False
201800032510,NonLethal,Daylight,Yes,Other,Normal,2Vehicles-Side,7,Tuesday,19,False,False
201800008451,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,2,Saturday,13,True,False
201800032731,Lethal,NightNoStreetLight,No,NoIntersection,Normal,Other,12,Sunday,7,True,False
201800008694,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Side,3,Saturday,21,True,False
201800000657,NonLethal,TwilightOrDawn,No,NoIntersection,Normal,Other,2,Sunday,8,True,False
201800005800,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Behind,9,Tuesday,22,False,False
201800025006,NonLethal,NightNoStreetLight,No,NoIntersection,Normal,2Vehicles-Side,9,Tuesday,6,False,True
201800018518,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Behind,2,Wednesday,17,False,False
201800041392,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,Other,8,Thursday,21,False,False
201800021119,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Behind,10,Friday,14,False,False
201800054088,NonLethal,Daylight,Yes,X-type,Normal,Other,6,Tuesday,19,False,False
201800032277,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Side,4,Tuesday,18,False,False
201800047048,NonLethal,NightNoStreetLight,No,NoIntersection,FogOrSmoke,2Vehicles-Behind,11,Friday,7,False,False
201800044566,NonLethal,Daylight,No,NoIntersection,Normal,2Vehicles-Side,1,Wednesday,11,False,False
201800047014,NonLethal,NightNoStreetLight,No,NoIntersection,Normal,2Vehicles-Side,11,Friday,19,False,False
201800026546,NonLethal,Daylight,Yes,NoIntersection,Overcast,3+Vehicles-Chain,5,Sunday,14,True,False
201800000079,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,10,Sunday,11,True,False
201800004592,NonLethal,Daylight,No,NoIntersection,Normal,Other,7,Friday,16,False,False
201800039789,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,4,Friday,12,False,False
201800009261,NonLethal,Daylight,Yes,Other,Normal,2Vehicles-Side,6,Friday,16,False,False
201800055200,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,5,Saturday,14,True,False
201800041250,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Behind,1,Sunday,0,True,True
201800030923,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,10,Saturday,16,True,False
201800043136,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,6,Wednesday,15,False,False
201800045232,NonLethal,Daylight,No,NoIntersection,LightRain,3+Vehicles-Multiple,9,Saturday,16,True,False
201800001103,NonLethal,Daylight,Yes,X-type,Normal,Other,2,Thursday,9,False,False
201800042085,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,4,Thursday,15,False,False
201800026573,NonLethal,Daylight,Yes,NoIntersection,LightRain,3+Vehicles-Chain,8,Sunday,17,True,False
201800037799,NonLethal,Daylight,Yes,NoIntersection,Normal,2Vehicles-Behind,8,Sunday,19,True,False
201800041020,NonLethal,NightStreelightsOn,Yes,NoIntersection,Normal,2Vehicles-Side,4,Saturday,23,True,False
201800057155,NonLethal,Daylight,No,NoIntersection,Normal,NoCollision,1,Wednesday,5,False,True
201800019547,NonLethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,11,Thursday,7,False,False
201800024689,NonLethal,NightStreelightsOn,Yes,X-type,LightRain,2Vehicles-Side,12,Monday,19,False,False
201800041666,NonLethal,Daylight,Yes,NoIntersection,Overcast,NoCollision,5,Monday,17,False,False
201800042450,NonLethal,NightStreelightsOn,Yes,X-type,Normal,2Vehicles-Side,4,Tuesday,22,False,False
201800007524,NonLethal,Daylight,No,NoIntersection,LightRain,NoCollision,7,Wednesday,18,False,False
201800011865,Lethal,Daylight,Yes,X-type,Normal,2Vehicles-Side,12,Friday,9,False,False
201800008996,NonLethal,Daylight,Yes,NoIntersection,Normal,Other,5,Monday,16,False,False
201800053891,NonLethal,Daylight,Yes,MoreThan4Branches,Normal,Other,9,Saturday,16,True,False
