AccidentId,RoadType,Circulation,LaneNumber,SpecialLane,Slope,Layout,SurfaceCondition,Infrastructure,Localization,SchoolNear
201800000002,Communal,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000003,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000004,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000008,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000011,Departamental,TwoWay,2,SeparatedBike,Flat,Straight,Normal,Missing,Lane,Missing
201800000012,National,DividedHighway,4,Reserved,Flat,Straight,Normal,Unknown,Lane,Missing
201800000013,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000014,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000015,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Shoulder,Missing
201800000017,Communal,TwoWay,2,0,Flat,Straight,Affected,Unknown,Sidewalk,Missing
201800000019,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000020,Communal,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000021,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000022,Departamental,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000023,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000025,Departamental,TwoWay,2,0,Flat,Missing,Affected,Unknown,Sidewalk,Missing
201800000028,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000031,Departamental,DividedHighway,2,0,Uphill,Straight,Normal,Unknown,Shoulder,Missing
201800000033,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000036,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Lane,Missing
201800000037,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000038,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000039,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000040,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000044,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000046,Departamental,TwoWay,2,0,Flat,LeftCurve,Affected,Missing,Shoulder,Missing
