AccidentId,VehicleId,Seat,Category,Gender,TripReason,SafetyDevice,SafetyDeviceUsed,PedestrianLocation,PedestrianAction,PedestrianCompany,BirthYear,is_pedestrian,target_group_size,RoadUserType,Age,Age_missing_flag,AgeGroup
201800000002,A01,1.0,PassengerCar,Male,Unknown,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1947.0,0,,Driver,71,0,70+
201800000002,A01,,PassengerCar,Male,Unknown,Helmet,Missing,OnLane<=OnSidewalk0mCrossing,Crossing,Alone,1965.0,1,,Pedestrian,53,0,le_60
201800000003,A01,1.0,TwoWheeler,Male,Leisure,Helmet,Yes,Not_Applicable,Not_Applicable,Unknown,1937.0,0,,Driver,81,0,70+
201800000003,B01,,PassengerCar,Unknown,Unknown,Missing,Missing,Not_Applicable,Not_Applicable,Unknown,,0,1.0,Driver,Unknown,1,Unknown
201800000003,C01,1.0,PassengerCar,Male,Unknown,ChildrenDevice,Missing,Not_Applicable,Not_Applicable,Unknown,,0,,Driver,Unknown,1,Unknown
201800000004,A01,1.0,PassengerCar,Male,Leisure,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1982.0,0,,Driver,36,0,le_40
201800000004,B01,1.0,Bicycle,Male,Leisure,Helmet,Missing,Not_Applicable,Not_Applicable,Unknown,2011.0,0,,Driver,7,0,le_10
201800000008,A01,1.0,PassengerCar,Male,Other,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1987.0,0,,Driver,31,0,le_40
201800000008,A01,,PassengerCar,Male,Leisure,Helmet,Missing,OnCrossingWithLigths,Crossing,Alone,1944.0,1,,Pedestrian,74,0,70+
201800000011,A01,1.0,PassengerCar,Female,Shopping,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1953.0,0,,Driver,65,0,le_70
201800000011,B01,1.0,TwoWheeler,Male,Unknown,Helmet,Yes,Not_Applicable,Not_Applicable,Unknown,1937.0,0,,Driver,81,0,70+
201800000012,A01,1.0,PassengerCar,Male,Unknown,ChildrenDevice,Missing,Not_Applicable,Not_Applicable,Unknown,1997.0,0,,Driver,21,0,le_30
201800000012,A01,2.0,PassengerCar,Female,Unknown,ChildrenDevice,Missing,Not_Applicable,Not_Applicable,Unknown,1922.0,0,,Passenger,96,0,70+
201800000012,A01,7.0,PassengerCar,Male,Unknown,ChildrenDevice,Missing,Not_Applicable,Not_Applicable,Unknown,1996.0,0,,Passenger,22,0,le_30
201800000012,A01,9.0,PassengerCar,Female,Unknown,ChildrenDevice,Missing,Not_Applicable,Not_Applicable,Unknown,2001.0,0,,Passenger,17,0,le_20
201800000013,A01,1.0,TwoWheeler,Male,Home-Work,Helmet,Yes,Not_Applicable,Not_Applicable,Unknown,1963.0,0,,Driver,55,0,le_60
201800000013,B01,1.0,PassengerCar,Female,Leisure,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1972.0,0,,Driver,46,0,le_50
201800000013,B01,2.0,PassengerCar,Female,Leisure,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1922.0,0,,Passenger,96,0,70+
201800000014,A01,1.0,PassengerCar,Male,Unknown,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1987.0,0,,Driver,31,0,le_40
201800000014,A01,,PassengerCar,Female,Leisure,Helmet,Missing,OnLane>OnSidewalk0mCrossing,Crossing,Alone,1929.0,1,,Pedestrian,89,0,70+
201800000015,A01,1.0,PassengerCar,Male,Home-Work,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1928.0,0,,Driver,90,0,70+
201800000017,A01,1.0,PassengerCar,Male,Unknown,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1950.0,0,,Driver,68,0,le_70
201800000019,A01,1.0,PassengerCar,Male,Leisure,SeatBelt,Yes,Not_Applicable,Not_Applicable,Unknown,1988.0,0,,Driver,30,0,le_30
