AccidentId,Direction,FixedObstacle,MobileObstacle,ImpactPoint,Maneuver_grouped
201800000002,Unknown,Not_Applicable,Pedestrian,Unknown,Straight
201800000003,Unknown,StationaryVehicle,Vehicle,Front,Straight
201800000003,Unknown,Not_Applicable,Vehicle,LeftSide,Turn
201800000003,Unknown,Not_Applicable,Not_Applicable,RightSide,StoppedOrParked
201800000004,Unknown,Not_Applicable,Other,RightFront,ModerateRisk
201800000004,Unknown,Not_Applicable,Vehicle,LeftSide,Unknown
201800000008,Unknown,Not_Applicable,Pedestrian,RightFront,Straight
201800000011,Unknown,Not_Applicable,Other,LeftFront,Turn
201800000011,Unknown,Not_Applicable,Vehicle,Front,Unknown
201800000012,Increasing,Post,Not_Applicable,Unknown,Unknown
201800000013,Unknown,Not_Applicable,Vehicle,LeftSide,HighRisk
201800000013,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000014,Unknown,Not_Applicable,Pedestrian,RightFront,Straight
201800000015,Unknown,DitchTalusOrRockyWall,Not_Applicable,LeftFront,Straight
201800000017,Increasing,StreetFurniture,Not_Applicable,LeftFront,Unknown
201800000019,Unknown,Not_Applicable,Not_Applicable,LeftBack,Turn
201800000019,Unknown,Not_Applicable,Vehicle,RightFront,Overtake
201800000020,Decreasing,SideWalkEdge,Vehicle,LeftFront,Straight
201800000020,Decreasing,SideWalkEdge,Not_Applicable,RightSide,Straight
201800000021,Unknown,Not_Applicable,Vehicle,Front,Turn
201800000021,Unknown,Not_Applicable,Vehicle,RightSide,ModerateRisk
201800000022,Unknown,Not_Applicable,Pedestrian,LeftFront,Straight
201800000023,Unknown,Not_Applicable,Vehicle,LeftBack,Turn
201800000023,Unknown,Not_Applicable,Vehicle,Front,Overtake
201800000025,Unknown,StationaryVehicle,Not_Applicable,LeftFront,Straight
201800000028,Unknown,StreetFurniture,Not_Applicable,Front,Straight
201800000031,Decreasing,MetallicBarrier,Not_Applicable,Multiple,Straight
201800000033,Decreasing,Not_Applicable,Vehicle,Front,Overtake
201800000033,Increasing,Not_Applicable,Vehicle,RightBack,Turn
201800000033,Increasing,Not_Applicable,Vehicle,LeftBack,Straight
201800000036,Unknown,Not_Applicable,Not_Applicable,LeftSide,Unknown
201800000036,Unknown,Not_Applicable,Vehicle,RightFront,Straight
201800000037,Decreasing,Not_Applicable,Vehicle,Front,Overtake
201800000037,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000038,Decreasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000038,Increasing,Not_Applicable,Vehicle,LeftSide,Turn
201800000039,Unknown,Not_Applicable,Vehicle,Front,Overtake
201800000039,Unknown,Not_Applicable,Not_Applicable,LeftSide,Straight
201800000040,Increasing,OtherInLane,Not_Applicable,Front,Straight
201800000040,Increasing,Not_Applicable,Not_Applicable,Back,StoppedOrParked
201800000040,Decreasing,Not_Applicable,Other,LeftSide,Straight
201800000044,Increasing,Not_Applicable,Not_Applicable,LeftSide,Straight
201800000044,Increasing,Not_Applicable,Other,RightFront,Overtake
201800000046,Increasing,DitchTalusOrRockyWall,Not_Applicable,LeftFront,Unknown
201800000047,Unknown,Not_Applicable,Pedestrian,LeftFront,Straight
201800000049,Unknown,Not_Applicable,Pedestrian,RightFront,Straight
201800000050,Unknown,Not_Applicable,Vehicle,Front,HighRisk
201800000050,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000055,Unknown,OtherInLane,Vehicle,Front,Overtake
201800000055,Unknown,Not_Applicable,Not_Applicable,LeftBack,StoppedOrParked
201800000056,Decreasing,Not_Applicable,Other,RightFront,Straight
201800000056,Decreasing,Not_Applicable,Vehicle,LeftBack,Straight
201800000057,Decreasing,DitchTalusOrRockyWall,Not_Applicable,RightFront,LaneChange
201800000059,Decreasing,Not_Applicable,Vehicle,LeftSide,LaneChange
201800000059,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000060,Increasing,Not_Applicable,Pedestrian,LeftFront,Straight
201800000061,Decreasing,StationaryVehicle,Vehicle,Front,Overtake
201800000061,Unknown,Not_Applicable,Vehicle,RightBack,Overtake
201800000061,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000062,Unknown,BuildingWallOrPier,Not_Applicable,Front,SwerveTurn
201800000065,Unknown,Not_Applicable,Not_Applicable,Unknown,Straight
201800000066,Unknown,Not_Applicable,Not_Applicable,LeftSide,Straight
201800000068,Increasing,Tree,Not_Applicable,Front,Straight
201800000069,Increasing,Tree,Not_Applicable,Front,SwerveTurn
201800000070,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000070,Unknown,Not_Applicable,Not_Applicable,LeftFront,Straight
201800000071,Unknown,StreetFurniture,Vehicle,LeftBack,Straight
201800000073,Decreasing,BuildingWallOrPier,Not_Applicable,Front,SwerveTurn
201800000074,Unknown,DitchTalusOrRockyWall,Not_Applicable,Front,Straight
201800000075,Decreasing,StreetFurniture,Vehicle,RightFront,Turn
201800000075,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000076,Unknown,DitchTalusOrRockyWall,Not_Applicable,Unknown,Straight
201800000077,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000077,Unknown,Not_Applicable,Not_Applicable,LeftFront,Straight
201800000078,Unknown,Not_Applicable,Vehicle,RightSide,Straight
201800000078,Unknown,Tree,Vehicle,Multiple,Straight
201800000079,Unknown,Not_Applicable,Not_Applicable,LeftBack,Turn
201800000079,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000083,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000083,Unknown,Not_Applicable,Vehicle,RightFront,Turn
201800000084,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000084,Unknown,Not_Applicable,Vehicle,Front,SwerveTurn
201800000085,Decreasing,Post,Not_Applicable,LeftFront,SwerveTurn
201800000086,Unknown,Not_Applicable,Vehicle,RightSide,Turn
201800000086,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000088,Unknown,MetallicBarrier,Not_Applicable,RightFront,ModerateRisk
201800000089,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000089,Unknown,Not_Applicable,Vehicle,RightFront,Straight
201800000090,Increasing,TrafficSignOrEmergencyBox,Not_Applicable,Front,Straight
201800000091,Decreasing,Not_Applicable,Pedestrian,LeftFront,ModerateRisk
