AccidentId,RoadType,RoadNumber,RoadSecNumber,RoadLetter,Circulation,LaneNumber,SpecialLane,Slope,RoadMarkerId,RoadMarkerDistance,Layout,StripWidth,LaneWidth,SurfaceCondition,Infrastructure,Localization,SchoolNear
201800000001,Departamental,41,,C,TwoWay,2.0,0,Flat,,,RightCurve,,,Normal,Unknown,Lane,0.0
201800000002,Communal,41,,D,TwoWay,2.0,0,Flat,,,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000003,Departamental,39,,D,TwoWay,2.0,0,Flat,,,,,,Normal,Unknown,Lane,0.0
201800000004,Departamental,39,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000006,Departamental,39,,D,Unknown,2.0,0,Uphill,,,LeftCurve,,,Wet,Unknown,Shoulder,0.0
201800000008,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000009,Departamental,141,,D,TwoWay,2.0,0,Flat,,,,,,Normal,Unknown,Shoulder,0.0
201800000010,Departamental,641,,,TwoWay,2.0,Bike,Flat,1.0,670.0,,,,Normal,Unknown,Lane,0.0
201800000011,Departamental,641,,,TwoWay,2.0,SeparatedBike,Flat,,,Straight,,,Normal,,Lane,0.0
201800000012,National,41,,,DividedHighway,4.0,Reserved,Flat,36.0,1.0,Straight,,,Normal,Unknown,Lane,0.0
201800000013,Departamental,22,,C,TwoWay,2.0,0,Flat,,,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000014,Departamental,947,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000015,Departamental,22,,,TwoWay,2.0,0,Flat,,,Straight,,,Wet,Unknown,Shoulder,0.0
201800000016,Departamental,917,,,TwoWay,2.0,Bike,Flat,,,,,,Normal,PedestrianZone,Lane,0.0
201800000017,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Wet,Unknown,Sidewalk,0.0
201800000018,Departamental,917,,,TwoWay,2.0,0,Flat,23.0,785.0,Straight,,,Normal,Unknown,Lane,0.0
201800000019,Departamental,145,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
