AccidentId,VehicleId,Seat,Category,Gender,TripReason,SafetyDevice,SafetyDeviceUsed,PedestrianLocation,PedestrianAction,PedestrianCompany,BirthYear
201800000001,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1960
201800000001,B01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1928
201800000002,A01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1947
201800000002,A01,,Car<=3.5T,Male,,Helmet,,OnLane<=OnSidewalk0mCrossing,Crossing,Alone,1965
201800000003,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1937
201800000003,B01,,Car<=3.5T,,,,,,,,
201800000003,C01,1.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,
201800000004,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1982
201800000004,B01,1.0,Bicycle,Male,Leisure,Helmet,,,,Unknown,2011
201800000006,A01,1.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1940
201800000006,A01,2.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1992
201800000006,A01,9.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1929
201800000006,A01,,Car<=3.5T,Male,,Helmet,,,,Unknown,1959
201800000008,A01,1.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1987
201800000008,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnCrossingWithLigths,Crossing,Alone,1944
201800000009,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1987
201800000010,A01,1.0,Motorbike>125cm3,Male,Professional,Helmet,Yes,,,Unknown,1947
201800000010,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1976
201800000011,A01,1.0,Car<=3.5T,Female,Shopping,SeatBelt,Yes,,,Unknown,1953
201800000011,B01,1.0,Scooter<50cm3,Male,,Helmet,Yes,,,Unknown,1937
201800000012,A01,1.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1997
201800000012,A01,2.0,Car<=3.5T,Female,,ChildrenDevice,,,,Unknown,1922
201800000012,A01,7.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1996
201800000012,A01,9.0,Car<=3.5T,Female,,ChildrenDevice,,,,Unknown,2001
201800000013,A01,1.0,Motorbike>125cm3,Male,Home-Work,Helmet,Yes,,,Unknown,1963
