AccidentId,Direction,PassengerNumber,FixedObstacle,MobileObstacle,ImpactPoint,Maneuver
201800000001,Unknown,0,,Vehicle,RightFront,TurnToLeft
201800000001,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000002,Unknown,0,,Pedestrian,,NoDirectionChange
201800000003,Unknown,0,StationaryVehicle,Vehicle,Front,NoDirectionChange
201800000003,Unknown,0,,Vehicle,LeftSide,TurnToLeft
201800000003,Unknown,0,,,RightSide,Parked
201800000004,Unknown,0,,Other,RightFront,Avoidance
201800000004,Unknown,0,,Vehicle,LeftSide,
201800000006,Unknown,0,BuildingWallOrPier,Pedestrian,RightFront,NoDirectionChange
201800000008,Unknown,0,,Pedestrian,RightFront,NoDirectionChange
201800000009,Increasing,0,ExitLaneWithoutObstacle,,LeftFront,NoDirectionChange
201800000010,Unknown,0,,Vehicle,Front,PassLeft
201800000010,Unknown,0,BuildingWallOrPier,,LeftSide,TurnToLeft
201800000011,Unknown,0,,Other,LeftFront,TurnToLeft
201800000011,Unknown,0,,Vehicle,Front,
201800000012,Increasing,0,Post,,,
201800000013,Unknown,0,,Vehicle,LeftSide,WrongWay
201800000013,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000014,Unknown,0,,Pedestrian,RightFront,NoDirectionChange
201800000015,Unknown,0,DitchTalusOrRockyWall,,LeftFront,NoDirectionChange
201800000016,Unknown,0,,Pedestrian,RightSide,NoDirectionChange
201800000017,Increasing,0,StreetFurniture,,LeftFront,
201800000018,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000018,Decreasing,0,,Vehicle,Back,Stopped
201800000019,Unknown,0,,,LeftBack,TurnToLeft
201800000019,Unknown,0,,Vehicle,RightFront,PassLeft
201800000020,Decreasing,0,SideWalkEdge,Vehicle,LeftFront,SameDirectionOrLane
201800000020,Decreasing,0,SideWalkEdge,,RightSide,NoDirectionChange
201800000021,Unknown,0,,Vehicle,Front,TurnToLeft
201800000021,Unknown,0,,Vehicle,RightSide,Avoidance
201800000022,Unknown,0,,Pedestrian,LeftFront,NoDirectionChange
201800000023,Unknown,0,,Vehicle,LeftBack,TurnToLeft
201800000023,Unknown,0,,Vehicle,Front,PassLeft
201800000024,Decreasing,0,,Pedestrian,LeftFront,NoDirectionChange
201800000025,Unknown,0,StationaryVehicle,,LeftFront,NoDirectionChange
201800000026,Unknown,0,,Vehicle,Multiple,NoDirectionChange
201800000026,Unknown,0,,Vehicle,RightFront,NoDirectionChange
201800000027,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000027,Decreasing,0,,Vehicle,Back,NoDirectionChange
201800000027,Increasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000028,Unknown,0,StreetFurniture,,Front,NoDirectionChange
201800000029,Unknown,0,DitchTalusOrRockyWall,,LeftFront,SwerveToLeft
201800000030,Decreasing,0,,Pedestrian,RightFront,SameDirectionOrLane
201800000031,Decreasing,0,MetallicBarrier,,Multiple,NoDirectionChange
201800000032,Decreasing,0,,Pedestrian,Front,NoDirectionChange
201800000033,Decreasing,0,,Vehicle,Front,PassLeft
201800000033,Increasing,0,,Vehicle,RightBack,TurnToLeft
201800000033,Increasing,0,,Vehicle,LeftBack,NoDirectionChange
201800000034,Unknown,0,,Vehicle,Front,
201800000034,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000036,Unknown,0,,,LeftSide,
201800000036,Unknown,0,,Vehicle,RightFront,NoDirectionChange
201800000037,Decreasing,0,,Vehicle,Front,PassLeft
201800000037,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000038,Decreasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000038,Increasing,0,,Vehicle,LeftSide,TurnToLeft
201800000039,Unknown,0,,Vehicle,Front,PassLeft
201800000039,Unknown,0,,,LeftSide,NoDirectionChange
201800000040,Increasing,0,OtherInLane,,Front,NoDirectionChange
201800000040,Increasing,0,,,Back,Stopped
201800000040,Decreasing,0,,Other,LeftSide,NoDirectionChange
201800000043,Unknown,0,Parapet,Vehicle,RightFront,SwerveToLeft
201800000043,Decreasing,0,Parapet,Vehicle,LeftFront,NoDirectionChange
201800000044,Increasing,0,,,LeftSide,SameDirectionOrLane
201800000044,Increasing,0,,Other,RightFront,PassLeft
201800000045,Decreasing,0,Parapet,,Front,
201800000046,Increasing,0,DitchTalusOrRockyWall,,LeftFront,
201800000047,Unknown,0,,Pedestrian,LeftFront,NoDirectionChange
201800000048,Unknown,0,,Vehicle,RightFront,WrongWay
201800000048,Unknown,0,,Vehicle,RightSide,WrongWay
201800000049,Unknown,0,,Pedestrian,RightFront,NoDirectionChange
201800000050,Unknown,0,,Vehicle,Front,WrongWay
201800000050,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000051,Unknown,0,,Other,Front,
201800000051,Increasing,0,,,Back,SameDirectionOrLane
201800000052,Unknown,0,,Vehicle,Front,PassLeft
201800000052,Unknown,0,,,LeftFront,TurnToLeft
201800000053,Unknown,0,,Vehicle,LeftSide,Insertion
201800000053,Unknown,0,,Vehicle,RightFront,NoDirectionChange
201800000054,Unknown,0,,,Front,CrossLane
201800000054,Unknown,0,,,LeftSide,TurnToLeft
201800000055,Unknown,0,OtherInLane,Vehicle,Front,PassLeft
201800000055,Unknown,0,,,LeftBack,Stopped
201800000056,Decreasing,0,,Other,RightFront,SameDirectionOrLane
201800000056,Decreasing,0,,Vehicle,LeftBack,SameDirectionOrLane
201800000057,Decreasing,0,DitchTalusOrRockyWall,,RightFront,CrossLane
201800000058,Decreasing,0,,Vehicle,LeftSide,PassLeft
201800000058,Decreasing,0,,Vehicle,Front,PassLeft
201800000059,Decreasing,0,,Vehicle,LeftSide,CrossLane
201800000059,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000060,Increasing,0,,Pedestrian,LeftFront,NoDirectionChange
201800000061,Decreasing,0,StationaryVehicle,Vehicle,Front,PassLeft
201800000061,Unknown,0,,Vehicle,RightBack,PassLeft
201800000061,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000062,Unknown,0,BuildingWallOrPier,,Front,SwerveToLeft
201800000064,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000065,Unknown,0,,,,SameDirectionOrLane
201800000066,Unknown,0,,,LeftSide,NoDirectionChange
201800000067,Unknown,0,,,Multiple,
201800000068,Increasing,0,Tree,,Front,NoDirectionChange
201800000069,Increasing,0,Tree,,Front,SwerveToLeft
201800000070,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000070,Unknown,0,,,LeftFront,NoDirectionChange
201800000071,Unknown,0,StreetFurniture,Vehicle,LeftBack,NoDirectionChange
201800000072,Unknown,0,,,Front,SwerveToLeft
201800000073,Decreasing,0,BuildingWallOrPier,,Front,SwerveToLeft
201800000074,Unknown,0,DitchTalusOrRockyWall,,Front,NoDirectionChange
201800000075,Decreasing,0,StreetFurniture,Vehicle,RightFront,TurnToLeft
201800000075,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000076,Unknown,0,DitchTalusOrRockyWall,,,NoDirectionChange
201800000077,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000077,Unknown,0,,,LeftFront,NoDirectionChange
201800000078,Unknown,0,,Vehicle,RightSide,SameDirectionOrLane
201800000078,Unknown,0,Tree,Vehicle,Multiple,SameDirectionOrLane
201800000079,Unknown,0,,,LeftBack,TurnToLeft
201800000079,Unknown,0,,Vehicle,Front,SameDirectionOrLane
201800000080,Unknown,0,,Vehicle,RightSide,SameDirectionOrLane
201800000080,Unknown,0,,Vehicle,LeftSide,SameDirectionOrLane
201800000082,Increasing,0,,Vehicle,LeftSide,NoDirectionChange
201800000082,Increasing,0,,Vehicle,Front,CrossLane
201800000083,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000083,Unknown,0,,Vehicle,RightFront,TurnToLeft
201800000084,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000084,Unknown,0,,Vehicle,Front,SwerveToLeft
201800000085,Decreasing,0,Post,,LeftFront,SwerveToLeft
201800000086,Unknown,0,,Vehicle,RightSide,TurnToLeft
201800000086,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000087,Unknown,0,Post,,Front,TurnToRight
201800000088,Unknown,0,MetallicBarrier,,RightFront,Avoidance
201800000089,Unknown,0,,Vehicle,Front,SameDirectionOrLane
201800000089,Unknown,0,,Vehicle,RightFront,NoDirectionChange
201800000090,Increasing,0,TrafficSignOrEmergencyBox,,Front,NoDirectionChange
201800000091,Decreasing,0,,Pedestrian,LeftFront,Insertion
201800000092,Decreasing,0,OtherInLane,,Front,PassLeft
201800000093,Unknown,0,Post,,Front,NoDirectionChange
201800000094,Decreasing,0,,Other,Front,SameDirectionOrLane
201800000094,Decreasing,0,,,Back,NoDirectionChange
201800000095,Increasing,0,,Pedestrian,RightFront,TurnToRight
201800000097,Unknown,0,TrafficSignOrEmergencyBox,,LeftSide,CrossLane
201800000097,Unknown,0,StreetFurniture,Vehicle,Front,SwerveToRight
201800000098,Increasing,0,,Vehicle,Back,UTurnInLane
201800000098,Increasing,0,,Vehicle,Front,SameDirectionOrLane
201800000098,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000099,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000099,Unknown,0,,Vehicle,LeftFront,TurnToLeft
201800000100,Decreasing,0,,Vehicle,RightBack,SwerveToLeft
201800000100,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000100,Increasing,0,,Vehicle,LeftBack,NoDirectionChange
201800000101,Unknown,0,BuildingWallOrPier,,RightSide,NoDirectionChange
201800000102,Decreasing,0,,Pedestrian,RightFront,NoDirectionChange
201800000103,Increasing,0,,Vehicle,LeftSide,NoDirectionChange
201800000103,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000105,Decreasing,0,,Vehicle,Front,SameDirectionOrLane
201800000105,Decreasing,0,,Vehicle,Back,SameDirectionOrLane
201800000106,Unknown,0,,Pedestrian,Front,NoDirectionChange
201800000107,Decreasing,0,,Other,RightFront,
201800000107,Unknown,0,,,RightSide,
201800000108,Increasing,0,,Vehicle,LeftFront,
201800000108,Decreasing,0,,,RightFront,
201800000109,Increasing,0,,Vehicle,RightSide,NoDirectionChange
201800000109,Unknown,0,,Vehicle,LeftSide,NoDirectionChange
201800000109,Unknown,0,,Vehicle,Front,CrossLane
201800000110,Unknown,0,,,RightBack,SameDirectionOrLane
201800000110,Unknown,0,,Vehicle,Front,SameDirectionOrLane
201800000112,Unknown,0,,Vehicle,RightBack,UTurnInLane
201800000112,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000112,Unknown,0,,Vehicle,LeftBack,Stopped
201800000113,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000113,Unknown,0,,Vehicle,LeftFront,PassLeft
201800000114,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000114,Increasing,0,,,LeftSide,CrossLane
201800000116,Increasing,0,,,Front,NoDirectionChange
201800000117,Decreasing,0,DitchTalusOrRockyWall,,Front,NoDirectionChange
201800000118,Increasing,0,StationaryVehicle,,Front,NoDirectionChange
201800000119,Increasing,0,StreetFurniture,Vehicle,RightFront,PassLeft
201800000119,Increasing,0,,Vehicle,LeftSide,NoDirectionChange
201800000120,Increasing,0,DitchTalusOrRockyWall,,Front,NoDirectionChange
201800000121,Increasing,0,DitchTalusOrRockyWall,,Front,NoDirectionChange
201800000122,Increasing,0,DitchTalusOrRockyWall,,Front,NoDirectionChange
201800000123,Unknown,0,SideWalkEdge,,Front,
201800000124,Increasing,0,Post,,Multiple,NoDirectionChange
201800000125,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000125,Unknown,0,,Vehicle,RightFront,TurnToLeft
201800000126,Decreasing,0,,Vehicle,LeftFront,
201800000126,Increasing,0,,Vehicle,LeftSide,
201800000127,Unknown,0,DitchTalusOrRockyWall,,Front,SameDirectionOrLane
201800000128,Decreasing,0,,Other,,SwerveToRight
201800000129,Increasing,0,,Vehicle,LeftFront,TurnToLeft
201800000129,Decreasing,0,MetallicBarrier,Vehicle,LeftFront,NoDirectionChange
201800000130,Unknown,0,BuildingWallOrPier,,Front,
201800000131,Increasing,0,,Vehicle,RightFront,SameDirectionOrLane
201800000131,Increasing,0,,,RightBack,TurnToRight
201800000132,Unknown,0,,,,TurnToLeft
201800000133,Increasing,0,,Vehicle,Front,PassLeft
201800000133,Increasing,0,,Vehicle,LeftBack,Park
201800000134,Unknown,0,,Vehicle,RightSide,ChangeToRightLane
201800000134,Unknown,0,,Vehicle,LeftFront,ChangeToLeftLane
201800000135,Increasing,0,DitchTalusOrRockyWall,,,TurnToLeft
201800000136,Increasing,0,,Vehicle,LeftSide,TurnToLeft
201800000136,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000137,Unknown,0,,Pedestrian,LeftFront,NoDirectionChange
201800000138,Unknown,0,,Vehicle,Front,Insertion
201800000138,Unknown,0,TrafficSignOrEmergencyBox,Vehicle,RightSide,NoDirectionChange
201800000138,Unknown,0,,Vehicle,LeftSide,NoDirectionChange
201800000138,Unknown,0,,Other,Front,NoDirectionChange
201800000139,Unknown,0,,Vehicle,RightFront,SameDirectionOrLane
201800000139,Unknown,0,,,LeftBack,Parked
201800000140,Unknown,0,,Vehicle,LeftFront,TurnToLeft
201800000140,Unknown,0,,Vehicle,RightFront,PassLeft
201800000141,Unknown,0,,Vehicle,Front,CrossLane
201800000141,Unknown,0,,Vehicle,LeftSide,NoDirectionChange
201800000142,Unknown,0,MetallicBarrier,Vehicle,Front,SwerveToLeft
201800000142,Unknown,0,,Vehicle,LeftBack,NoDirectionChange
201800000142,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000143,Increasing,0,,Vehicle,Front,PassLeft
201800000143,Increasing,0,,Vehicle,LeftFront,UTurnInLane
201800000144,Increasing,0,,Vehicle,LeftFront,Insertion
201800000144,Increasing,0,,Vehicle,RightFront,NoDirectionChange
201800000145,Unknown,0,TrafficSignOrEmergencyBox,,Front,NoDirectionChange
201800000146,Increasing,0,StationaryVehicle,,Front,NoDirectionChange
201800000146,Decreasing,0,,,LeftFront,TurnToLeft
201800000147,Unknown,0,,Other,Front,
201800000149,Unknown,0,OtherInLane,,,
201800000150,Increasing,0,,Other,Front,NoDirectionChange
201800000150,Unknown,0,,Vehicle,Front,CrossLane
201800000151,Unknown,0,OtherInSidewalkOrShoulder,Vehicle,LeftFront,SwerveToLeft
201800000151,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000152,Unknown,0,,Vehicle,LeftFront,
201800000153,Decreasing,0,DitchTalusOrRockyWall,,,NoDirectionChange
201800000154,Unknown,0,,Vehicle,Front,SwerveToLeft
201800000154,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000155,Unknown,0,,,RightFront,NoDirectionChange
201800000156,Unknown,0,DitchTalusOrRockyWall,Other,Back,UTurnInLane
201800000157,Unknown,0,,Vehicle,Front,TurnToLeft
201800000157,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000157,Unknown,0,,Vehicle,Front,Stopped
201800000158,Unknown,0,TrafficIslandRefugeOrMilestone,,,PassLeft
201800000159,Unknown,0,StationaryVehicle,Vehicle,Front,NoDirectionChange
201800000159,Unknown,0,,Vehicle,RightFront,NoDirectionChange
201800000160,Decreasing,0,MetallicBarrier,,,
201800000161,Unknown,0,StationaryVehicle,,LeftSide,SwerveToRight
201800000162,Increasing,0,TrafficSignOrEmergencyBox,,RightBack,CrossLane
201800000162,Increasing,0,BuildingWallOrPier,,RightFront,NoDirectionChange
201800000163,Increasing,0,,Pedestrian,RightFront,PassLeft
201800000164,Decreasing,0,StationaryVehicle,,Front,NoDirectionChange
